Book,Chapter,Verse,Citations
Matthew,20,16,2
Matthew,20,15,2
Matthew,20,14,2
Doctrine and Covenants,132,13,2
Doctrine and Covenants,132,5,2
Doctrine and Covenants,132,4,2
Matthew,20,13,2
Matthew,20,12,2
Matthew,20,11,2
Matthew,20,10,2
Matthew,20,9,2
Matthew,20,8,2
Matthew,20,7,2
Matthew,20,6,2
Matthew,20,5,2
Matthew,20,4,2
Matthew,20,3,2
Matthew,20,2,2
Matthew,20,1,2
Matthew,19,29,2
Doctrine and Covenants,132,22,2
Doctrine and Covenants,132,21,2
Matthew,19,14,2
Matthew,18,33,2
Matthew,18,32,2
Matthew,18,31,2
Matthew,18,30,2
Matthew,18,29,2
Matthew,18,28,2
Matthew,18,27,2
Matthew,18,26,2
Matthew,18,25,2
Matthew,18,24,2
Matthew,18,22,2
Matthew,18,21,2
Matthew,18,18,2
Matthew,18,11,2
Matthew,18,6,2
Matthew,18,5,2
Doctrine and Covenants,132,31,2
Doctrine and Covenants,132,29,2
Daniel,3,14,2
Daniel,3,13,2
Matthew,18,1,2
Matthew,17,4,2
Matthew,17,3,2
2 Nephi,6,3,2
2 Nephi,5,27,2
Doctrine and Covenants,132,55,2
Doctrine and Covenants,132,49,2
Matthew,14,36,2
Matthew,14,35,2
Matthew,14,33,2
2 Nephi,9,4,2
2 Nephi,9,3,2
2 Nephi,9,2,2
2 Nephi,6,17,2
2 Nephi,6,13,2
2 Nephi,9,38,2
2 Nephi,9,37,2
2 Nephi,9,36,2
2 Nephi,9,35,2
2 Nephi,9,34,2
2 Nephi,9,33,2
2 Nephi,9,32,2
2 Nephi,9,31,2
Matthew,14,12,2
Matthew,14,11,2
Matthew,14,10,2
Matthew,14,9,2
Matthew,14,8,2
Matthew,14,7,2
Matthew,14,6,2
Doctrine and Covenants,133,37,2
Matthew,13,38,2
Matthew,13,15,2
2 Nephi,9,54,2
2 Nephi,9,52,2
2 Nephi,9,49,2
2 Nephi,9,47,2
2 Nephi,9,44,2
2 Nephi,9,43,2
Doctrine and Covenants,135,4,2
Doctrine and Covenants,133,45,2
2 Nephi,9,42,2
Matthew,13,13,2
Matthew,13,12,2
Matthew,13,11,2
Matthew,13,10,2
Matthew,13,3,2
Matthew,13,2,2
Matthew,13,1,2
2 Nephi,11,5,2
2 Nephi,10,25,2
2 Nephi,10,14,2
Matthew,12,15,2
Matthew,12,7,2
Matthew,11,27,2
Matthew,11,19,2
Matthew,11,11,2
Matthew,11,6,2
Matthew,11,5,2
Matthew,10,40,2
Matthew,10,31,2
Matthew,10,30,2
Matthew,10,6,2
Matthew,9,36,2
Matthew,9,22,2
Matthew,9,2,2
2 Nephi,25,10,2
2 Nephi,25,9,2
2 Nephi,25,6,2
2 Nephi,25,5,2
Doctrine and Covenants,136,39,2
Doctrine and Covenants,136,33,2
Doctrine and Covenants,136,29,2
Doctrine and Covenants,136,28,2
2 Nephi,25,3,2
2 Nephi,25,2,2
2 Nephi,25,1,2
Matthew,8,13,2
Matthew,8,12,2
Matthew,8,11,2
Matthew,8,10,2
Matthew,8,9,2
Matthew,8,8,2
Matthew,8,7,2
Daniel,2,40,2
Daniel,2,39,2
Daniel,2,38,2
Daniel,2,37,2
Daniel,2,36,2
Daniel,2,33,2
Daniel,2,32,2
Daniel,2,31,2
Matthew,8,6,2
Matthew,8,5,2
Matthew,8,4,2
Matthew,7,29,2
Matthew,7,27,2
Matthew,7,26,2
Matthew,7,20,2
Matthew,7,19,2
Matthew,7,18,2
2 Nephi,25,19,2
2 Nephi,25,18,2
2 Nephi,25,16,2
2 Nephi,25,15,2
2 Nephi,25,14,2
2 Nephi,25,12,2
Daniel,2,18,2
Daniel,2,43,2
Daniel,2,42,2
Daniel,2,41,2
2 Nephi,25,11,2
Matthew,7,6,2
Matthew,7,5,2
Matthew,6,22,2
2 Nephi,26,9,2
2 Nephi,26,8,2
2 Nephi,26,7,2
Daniel,2,28,2
Daniel,2,27,2
Daniel,2,26,2
2 Nephi,26,3,2
2 Nephi,25,30,2
2 Nephi,25,27,2
Matthew,6,9,2
Matthew,6,2,2
2 Nephi,26,23,2
2 Nephi,26,21,2
2 Nephi,26,19,2
2 Nephi,26,18,2
2 Nephi,26,17,2
2 Nephi,26,15,2
2 Nephi,26,14,2
2 Nephi,26,13,2
2 Nephi,28,8,2
2 Nephi,27,26,2
2 Nephi,27,23,2
2 Nephi,27,21,2
2 Nephi,26,32,2
2 Nephi,26,31,2
Colossians,2,8,2
Colossians,1,20,2
Colossians,1,14,2
Colossians,1,13,2
Daniel,2,10,2
2 Nephi,29,1,2
2 Nephi,28,28,2
2 Nephi,28,25,2
2 Nephi,28,19,2
2 Nephi,30,8,2
2 Nephi,30,2,2
Alma,60,23,2
Articles of Faith,1,11,2
Articles of Faith,1,8,2
2 Nephi,33,2,2
2 Nephi,32,7,2
2 Nephi,32,6,2
2 Nephi,32,1,2
2 Peter,1,2,2
2 Nephi,33,10,2
2 Nephi,33,9,2
Matthew,4,24,2
Matthew,4,22,2
Matthew,4,21,2
Matthew,4,16,2
Enos,1,16,2
Enos,1,13,2
Enos,1,12,2
Ecclesiastes,1,2,2
Alma,62,41,2
2 Peter,1,21,2
2 Peter,1,20,2
2 Peter,1,18,2
2 Peter,1,17,2
2 Peter,1,16,2
2 Peter,1,12,2
Matthew,4,9,2
Matthew,4,8,2
Matthew,4,6,2
Matthew,4,5,2
Alma,60,10,2
Alma,60,9,2
Enos,1,25,2
Enos,1,24,2
Enos,1,23,2
Enos,1,22,2
Enos,1,21,2
Enos,1,19,2
Enos,1,18,2
Matthew,4,3,2
Matthew,2,13,2
Mark,16,10,2
Mark,16,9,2
Mark,16,8,2
Mark,16,7,2
Mark,16,6,2
Mark,16,5,2
Mark,16,4,2
Mark,16,3,2
Mark,16,2,2
Mark,16,1,2
Ephesians,2,13,2
Ephesians,2,8,2
Enos,1,26,2
Alma,60,21,2
Mark,15,38,2
Mark,15,37,2
Mark,15,14,2
Mark,14,41,2
Mark,14,40,2
Mark,14,39,2
Mark,14,38,2
Mark,14,37,2
Ephesians,4,6,2
Ephesians,4,5,2
Ephesians,4,3,2
Ephesians,3,17,2
Mark,14,8,2
Mark,14,6,2
Mark,12,29,2
Mark,12,28,2
Mark,11,26,2
Mark,11,25,2
Mark,10,45,2
Mark,10,44,2
Mark,10,42,2
Mark,10,40,2
Mark,10,39,2
Mark,10,38,2
Mark,10,37,2
Mark,10,36,2
Mark,10,35,2
Mark,10,31,2
Mark,10,30,2
Ephesians,6,17,2
Ephesians,6,16,2
Ephesians,6,13,2
Ephesians,6,12,2
Ephesians,6,4,2
Ephesians,5,2,2
Mark,10,29,2
Mark,10,28,2
Mark,10,26,2
Mark,10,25,2
Mark,10,24,2
Mark,10,23,2
Mark,10,15,2
Ether,1,42,2
Mark,10,5,2
Mark,9,37,2
Mark,9,36,2
Mark,9,27,2
Mark,9,22,2
Mark,9,19,2
Mark,9,9,2
Mark,9,8,2
Mark,9,6,2
Mark,9,5,2
Mark,9,4,2
Mark,9,2,2
Mark,8,35,2
Ether,3,11,2
Ether,3,10,2
Ether,3,9,2
Ether,3,8,2
Ether,3,7,2
Ether,3,6,2
Ether,3,3,2
Ether,3,2,2
Ether,3,1,2
Mark,8,25,2
Mark,6,50,2
Mark,6,48,2
Mark,6,46,2
2 Timothy,3,13,2
2 Timothy,3,11,2
2 Timothy,3,10,2
2 Timothy,3,9,2
2 Timothy,3,8,2
2 Timothy,1,8,2
Mark,5,41,2
Ether,4,7,2
Ether,3,17,2
Ether,3,16,2
Ether,3,15,2
Ether,3,13,2
3 Nephi,1,13,2
2 Timothy,3,15,2
3 Nephi,6,14,2
3 Nephi,5,20,2
3 Nephi,4,32,2
Mark,4,34,2
Alma,58,10,2
Alma,57,25,2
Alma,57,21,2
Alma,57,20,2
3 Nephi,9,11,2
3 Nephi,11,0,2
3 Nephi,10,4,2
Mark,1,45,2
Mark,1,44,2
Mark,1,43,2
3 Nephi,12,23,2
3 Nephi,12,20,2
Mark,1,35,2
Mark,1,30,2
Mark,1,22,2
Malachi,3,17,2
3 Nephi,13,33,2
Ether,7,27,2
Ether,6,5,2
3 Nephi,13,11,2
3 Nephi,13,6,2
3 Nephi,12,24,2
Luke,24,45,2
Luke,24,44,2
Luke,24,43,2
Luke,24,42,2
Luke,24,41,2
Luke,24,40,2
Luke,24,38,2
3 Nephi,15,9,2
3 Nephi,14,16,2
3 Nephi,14,15,2
3 Nephi,14,11,2
Ether,12,29,2
Ether,12,28,2
Ether,12,26,2
Ether,12,8,2
Luke,24,12,2
Luke,24,11,2
Luke,24,10,2
Luke,24,9,2
Luke,24,8,2
3 Nephi,18,23,2
3 Nephi,18,22,2
3 Nephi,18,17,2
Luke,23,49,2
Luke,23,48,2
Luke,23,47,2
Luke,23,46,2
Luke,23,45,2
Luke,23,44,2
Alma,56,44,2
Ether,12,34,2
Luke,23,11,2
Luke,23,10,2
3 Nephi,18,36,2
Luke,23,9,2
Luke,23,6,2
Luke,22,50,2
Luke,22,31,2
Luke,22,20,2
Luke,21,26,2
Luke,21,4,2
Luke,19,48,2
Luke,19,47,2
Luke,19,46,2
Luke,19,45,2
Luke,19,40,2
Luke,19,39,2
Luke,19,36,2
Luke,19,35,2
3 Nephi,19,22,2
3 Nephi,19,21,2
3 Nephi,19,20,2
3 Nephi,19,9,2
Luke,19,34,2
Luke,19,33,2
Luke,19,32,2
Luke,19,31,2
Luke,19,30,2
Exodus,7,3,2
Exodus,7,2,2
Exodus,7,1,2
Exodus,4,11,2
Exodus,3,13,2
Exodus,3,8,2
Luke,19,29,2
Luke,19,28,2
Luke,19,27,2
Luke,19,26,2
Luke,19,25,2
Luke,19,24,2
Luke,19,23,2
Luke,19,22,2
Luke,19,21,2
Luke,19,20,2
Luke,19,19,2
Luke,19,18,2
Luke,19,17,2
Luke,19,16,2
Luke,19,15,2
Luke,19,14,2
Exodus,7,19,2
Exodus,7,18,2
Exodus,7,17,2
Exodus,7,16,2
Exodus,7,15,2
Exodus,7,14,2
Exodus,7,13,2
Exodus,7,12,2
Exodus,7,11,2
Exodus,7,10,2
Exodus,7,9,2
Exodus,7,8,2
Exodus,7,7,2
Exodus,7,6,2
Exodus,7,5,2
Exodus,7,4,2
Exodus,12,10,2
Exodus,12,9,2
Exodus,12,8,2
Exodus,12,7,2
Exodus,12,6,2
Exodus,12,5,2
Exodus,12,4,2
Exodus,12,3,2
Exodus,7,25,2
Exodus,7,24,2
Exodus,7,23,2
Exodus,7,22,2
Exodus,7,21,2
Exodus,7,20,2
Exodus,12,23,2
Luke,19,13,2
Luke,19,12,2
Luke,19,11,2
Luke,18,14,2
Luke,18,13,2
Luke,18,12,2
Luke,18,11,2
Luke,18,10,2
Luke,18,9,2
3 Nephi,19,34,2
3 Nephi,19,32,2
3 Nephi,19,31,2
3 Nephi,19,30,2
3 Nephi,19,29,2
3 Nephi,19,28,2
3 Nephi,19,27,2
3 Nephi,19,26,2
3 Nephi,19,25,2
Exodus,12,28,2
Luke,17,14,2
Luke,17,13,2
Luke,17,12,2
Luke,17,11,2
Luke,16,25,2
Luke,16,24,2
Luke,16,23,2
Luke,16,22,2
Luke,16,21,2
Luke,16,20,2
Luke,16,19,2
3 Nephi,20,29,2
Luke,14,30,2
Luke,14,29,2
Luke,14,28,2
Luke,14,21,2
Luke,13,34,2
Luke,13,32,2
Luke,12,32,2
Luke,12,7,2
Luke,10,40,2
Luke,10,28,2
Luke,10,26,2
3 Nephi,26,2,2
3 Nephi,24,10,2
Luke,10,9,2
Luke,10,8,2
Luke,10,7,2
Luke,10,6,2
Luke,10,5,2
Luke,10,4,2
Luke,10,3,2
Luke,10,1,2
Luke,9,62,2
Luke,9,54,2
Luke,9,33,2
Luke,9,30,2
Luke,9,28,2
Luke,8,56,2
Luke,8,55,2
Luke,8,54,2
Luke,8,53,2
Luke,8,52,2
Luke,8,51,2
Luke,8,49,2
Luke,8,42,2
Luke,8,41,2
Luke,8,40,2
Luke,8,39,2
3 Nephi,26,16,2
3 Nephi,26,9,2
3 Nephi,26,6,2
3 Nephi,26,4,2
Luke,8,38,2
Luke,8,37,2
Luke,8,36,2
Exodus,20,8,2
Exodus,20,2,2
Luke,8,35,2
Luke,8,34,2
Luke,8,33,2
Luke,8,32,2
Luke,8,31,2
Luke,8,30,2
Luke,8,29,2
Luke,8,28,2
Luke,8,27,2
Luke,8,26,2
Luke,8,24,2
Luke,8,23,2
Luke,8,22,2
Luke,8,21,2
Luke,8,20,2
Luke,8,19,2
Luke,8,18,2
Luke,8,17,2
Luke,8,16,2
Luke,8,15,2
Luke,8,14,2
Luke,8,13,2
Luke,8,12,2
Luke,8,11,2
Luke,8,10,2
Luke,8,9,2
Luke,8,8,2
Luke,8,7,2
Luke,8,6,2
Luke,8,5,2
Luke,8,4,2
Luke,7,36,2
3 Nephi,27,26,2
3 Nephi,27,25,2
3 Nephi,27,24,2
3 Nephi,27,23,2
Luke,7,11,2
3 Nephi,28,11,2
3 Nephi,27,32,2
Luke,6,38,2
Luke,6,36,2
Luke,6,31,2
Luke,6,28,2
Luke,6,14,2
Luke,6,13,2
Luke,6,12,2
Luke,5,32,2
Luke,5,26,2
Luke,5,25,2
Luke,5,20,2
Luke,5,16,2
Luke,5,11,2
Luke,5,9,2
Luke,5,8,2
Luke,5,7,2
Luke,5,6,2
Luke,5,5,2
Luke,5,4,2
Luke,5,3,2
Luke,5,2,2
Luke,4,40,2
Luke,4,14,2
Alma,49,5,2
Alma,50,4,2
Alma,49,28,2
4 Nephi,1,26,2
4 Nephi,1,22,2
4 Nephi,1,21,2
4 Nephi,1,20,2
4 Nephi,1,19,2
Luke,4,13,2
Luke,4,12,2
Luke,4,11,2
Luke,4,10,2
Luke,4,9,2
Luke,4,7,2
Luke,4,6,2
Luke,4,5,2
Alma,46,15,2
Luke,4,4,2
Luke,4,3,2
Luke,4,2,2
Luke,4,1,2
4 Nephi,1,45,2
Abraham,1,11,2
Abraham,1,7,2
Abraham,1,5,2
Abraham,1,19,2
Abraham,1,18,2
Luke,1,38,2
Luke,1,35,2
Luke,1,34,2
Luke,1,33,2
Luke,1,32,2
Luke,1,31,2
Exodus,29,10,2
Exodus,29,9,2
Exodus,29,8,2
Exodus,29,7,2
Exodus,29,6,2
Exodus,29,5,2
Exodus,29,4,2
Exodus,29,3,2
Exodus,29,2,2
Exodus,29,1,2
Alma,48,17,2
Alma,48,16,2
Abraham,2,7,2
Abraham,2,5,2
Abraham,2,4,2
Abraham,2,3,2
Abraham,2,2,2
Abraham,3,5,2
Abraham,3,4,2
Abraham,3,2,2
Exodus,29,26,2
Exodus,29,25,2
Exodus,29,24,2
Exodus,29,23,2
Exodus,29,22,2
Exodus,29,21,2
Exodus,29,20,2
Exodus,29,19,2
Exodus,29,18,2
Exodus,29,17,2
Exodus,29,16,2
Exodus,29,15,2
Exodus,29,14,2
Exodus,29,13,2
Exodus,29,12,2
Exodus,29,11,2
Exodus,29,43,2
Exodus,29,42,2
Exodus,29,41,2
Exodus,29,40,2
Exodus,29,39,2
Exodus,29,38,2
Exodus,29,37,2
Exodus,29,36,2
Exodus,29,35,2
Exodus,29,34,2
Exodus,29,33,2
Exodus,29,32,2
Exodus,29,31,2
Exodus,29,30,2
Exodus,29,28,2
Exodus,29,27,2
Exodus,32,8,2
Exodus,32,7,2
Exodus,31,13,2
Exodus,29,46,2
Exodus,29,45,2
Exodus,29,44,2
Abraham,3,1,2
Abraham,2,16,2
Abraham,3,16,2
Abraham,3,15,2
Abraham,3,13,2
Abraham,3,11,2
Abraham,3,10,2
Abraham,3,9,2
Abraham,3,8,2
Abraham,3,7,2
Judges,2,10,2
Abraham,4,8,2
Abraham,4,6,2
Abraham,4,5,2
Abraham,4,4,2
Abraham,4,3,2
Abraham,4,2,2
Abraham,4,1,2
Joshua,1,5,2
Joseph Smith—Matthew,1,23,2
Abraham,4,23,2
Abraham,4,22,2
Abraham,4,20,2
Abraham,4,19,2
Abraham,4,17,2
Abraham,4,16,2
Abraham,4,14,2
Abraham,4,13,2
Joseph Smith—History,1,62,2
Joseph Smith—History,1,61,2
Joseph Smith—History,1,60,2
Joseph Smith—History,1,59,2
Joseph Smith—History,1,53,2
Joseph Smith—History,1,52,2
Joseph Smith—History,1,51,2
Joseph Smith—History,1,50,2
Joseph Smith—History,1,49,2
Joseph Smith—History,1,48,2
Abraham,5,3,2
Abraham,5,2,2
Abraham,4,31,2
Abraham,4,30,2
Abraham,4,29,2
Abraham,4,28,2
Abraham,4,27,2
Acts,1,11,2
Joseph Smith—History,1,26,2
Joseph Smith—History,1,22,2
Joseph Smith—History,1,21,2
Joseph Smith—History,1,4,2
Joseph Smith—History,1,3,2
Joseph Smith—History,1,2,2
Joseph Smith—History,1,1,2
Acts,2,3,2
Acts,2,2,2
Acts,2,21,2
Acts,2,20,2
Acts,2,19,2
Acts,3,17,2
Acts,3,16,2
Acts,3,15,2
Acts,3,14,2
Acts,3,13,2
Acts,3,11,2
Jonah,2,10,2
Jonah,2,9,2
Jonah,2,8,2
Jonah,2,7,2
Jonah,2,6,2
Jonah,2,5,2
Jonah,2,4,2
Jonah,2,3,2
Jonah,2,2,2
Jonah,2,1,2
Ezekiel,18,31,2
John,21,20,2
John,21,19,2
John,21,14,2
John,21,13,2
John,21,12,2
John,21,11,2
John,21,10,2
John,21,8,2
Acts,4,12,2
Acts,3,26,2
Acts,3,24,2
Acts,3,23,2
Acts,3,22,2
Acts,3,18,2
John,20,31,2
John,20,29,2
John,20,27,2
John,20,25,2
Ezekiel,33,16,2
Ezekiel,33,15,2
Ezekiel,33,14,2
Ezekiel,33,8,2
John,20,21,2
John,20,19,2
Acts,5,41,2
Acts,5,19,2
Alma,41,9,2
Ezekiel,34,14,2
Ezekiel,34,13,2
Ezekiel,34,12,2
Ezekiel,34,11,2
Ezekiel,34,10,2
Acts,4,20,2
John,19,24,2
John,19,23,2
John,19,22,2
John,19,21,2
John,19,20,2
John,19,19,2
John,19,18,2
Acts,6,5,2
Acts,6,4,2
Acts,6,3,2
John,19,5,2
John,19,4,2
John,19,3,2
John,19,2,2
John,19,1,2
Ezekiel,37,19,2
Ezekiel,37,18,2
Ezekiel,37,15,2
Alma,41,15,2
Alma,41,12,2
John,18,38,2
John,18,37,2
John,18,11,2
Acts,10,2,2
Acts,10,1,2
Ezekiel,37,28,2
Ezekiel,37,27,2
Ezekiel,37,21,2
Ezekiel,37,20,2
John,16,24,2
Acts,10,18,2
Acts,10,17,2
Acts,10,16,2
Acts,10,15,2
Acts,10,14,2
Acts,10,13,2
Acts,10,12,2
Acts,10,11,2
Acts,10,10,2
Acts,10,9,2
Acts,10,7,2
Acts,10,6,2
Acts,10,5,2
Acts,10,4,2
Acts,10,3,2
John,15,16,2
John,15,3,2
John,14,25,2
John,14,24,2
John,14,22,2
Acts,10,33,2
Acts,10,32,2
Acts,10,31,2
Acts,10,30,2
Acts,10,29,2
Acts,10,28,2
Acts,10,27,2
Acts,10,26,2
Acts,10,25,2
Acts,10,24,2
John,13,38,2
John,13,37,2
Acts,10,43,2
Acts,10,42,2
Acts,10,41,2
Acts,10,40,2
Acts,10,39,2
John,13,36,2
John,13,33,2
John,13,32,2
John,13,31,2
John,13,30,2
John,13,29,2
John,13,28,2
John,13,27,2
John,13,26,2
John,13,25,2
John,13,24,2
Alma,40,25,2
Alma,40,21,2
Alma,40,20,2
Alma,40,19,2
John,13,22,2
John,13,21,2
John,13,20,2
John,13,19,2
Acts,11,18,2
Acts,11,17,2
Acts,11,12,2
Galatians,5,20,2
Galatians,2,20,2
Alma,40,18,2
Alma,40,17,2
Alma,40,16,2
Alma,40,15,2
John,13,1,2
John,12,33,2
John,12,26,2
John,12,25,2
John,12,21,2
John,12,14,2
John,11,38,2
John,11,37,2
John,11,36,2
John,11,32,2
John,11,31,2
John,11,30,2
John,11,29,2
John,11,28,2
John,11,24,2
John,11,20,2
John,11,19,2
John,11,18,2
John,11,17,2
John,11,16,2
Genesis,1,4,2
Genesis,1,3,2
Acts,17,26,2
John,11,15,2
John,11,13,2
John,11,12,2
Genesis,2,23,2
Genesis,1,31,2
John,11,11,2
John,11,10,2
John,11,9,2
John,11,8,2
John,11,5,2
John,11,4,2
John,11,1,2
John,10,27,2
Acts,20,29,2
John,10,5,2
John,10,2,2
John,9,11,2
John,8,36,2
John,8,26,2
Genesis,3,17,2
Genesis,3,16,2
Acts,26,18,2
John,8,2,2
John,7,16,2
John,6,63,2
John,6,58,2
John,6,57,2
John,6,55,2
John,6,54,2
John,6,53,2
John,6,52,2
John,6,51,2
John,6,50,2
John,6,49,2
John,6,48,2
Genesis,12,2,2
Genesis,12,1,2
John,6,35,2
John,6,28,2
John,6,27,2
John,6,26,2
John,6,21,2
John,6,20,2
John,6,19,2
John,6,18,2
John,6,17,2
John,6,16,2
John,6,15,2
Alma,4,4,2
John,5,29,2
John,4,38,2
John,4,37,2
John,4,34,2
John,4,33,2
John,4,32,2
John,4,31,2
Alma,4,20,2
Alma,4,18,2
Alma,4,17,2
Alma,4,16,2
Alma,4,15,2
Alma,39,13,2
Alma,39,12,2
Alma,39,11,2
Alma,39,10,2
Alma,39,7,2
Alma,39,6,2
Genesis,17,9,2
Genesis,17,1,2
Alma,39,14,2
Alma,6,6,2
Alma,8,20,2
Alma,8,19,2
Alma,8,17,2
Alma,8,13,2
Alma,8,12,2
Alma,8,11,2
Alma,8,10,2
John,4,3,2
John,4,2,2
John,4,1,2
John,3,6,2
John,3,4,2
Genesis,22,11,2
Genesis,22,8,2
Genesis,22,7,2
Alma,9,21,2
John,2,10,2
John,2,9,2
John,2,8,2
John,2,7,2
John,2,6,2
John,2,4,2
John,2,3,2
John,1,51,2
John,1,50,2
John,1,49,2
John,1,48,2
John,1,47,2
John,1,37,2
John,1,36,2
John,1,35,2
John,1,33,2
John,1,32,2
John,1,31,2
John,1,30,2
Genesis,22,18,2
John,1,28,2
John,1,25,2
John,1,24,2
John,1,23,2
John,1,22,2
John,1,21,2
John,1,20,2
John,1,19,2
John,1,18,2
John,1,17,2
John,1,16,2
John,1,15,2
Alma,11,40,2
Alma,11,34,2
Genesis,32,28,2
Genesis,28,14,2
Alma,10,5,2
Alma,10,4,2
John,1,13,2
John,1,11,2
John,1,10,2
Joel,2,12,2
Job,42,12,2
Alma,12,13,2
Alma,12,12,2
Alma,12,8,2
Genesis,37,2,2
Alma,12,7,2
Alma,12,5,2
Alma,12,4,2
Alma,12,3,2
Alma,12,2,2
Alma,12,1,2
Job,42,6,2
Job,42,5,2
Job,42,4,2
Alma,12,23,2
Alma,12,22,2
Alma,12,21,2
Alma,12,20,2
Alma,12,19,2
Alma,12,18,2
Alma,12,17,2
Alma,12,16,2
Jeremiah,50,6,2
Alma,39,4,2
Alma,39,3,2
Alma,39,2,2
Alma,39,1,2
Alma,38,1,2
Alma,37,46,2
Jeremiah,29,12,2
Jeremiah,29,3,2
Jeremiah,16,15,2
Jeremiah,16,14,2
Jarom,1,11,2
Jarom,1,4,2
Alma,13,6,2
Genesis,37,28,2
Genesis,37,20,2
Alma,39,5,2
Alma,13,1,2
Alma,12,37,2
Alma,12,36,2
James,1,25,2
James,1,24,2
James,1,23,2
James,1,7,2
Jacob,6,13,2
Jacob,6,8,2
Alma,13,24,2
Alma,13,21,2
Alma,13,16,2
Alma,13,13,2
Jacob,6,4,2
Alma,14,26,2
Alma,17,25,2
Alma,17,2,2
Alma,15,17,2
Alma,18,10,2
Alma,18,9,2
Alma,18,21,2
Alma,18,20,2
Alma,22,9,2
Alma,22,8,2
Alma,22,7,2
Alma,22,6,2
Alma,22,5,2
Alma,22,3,2
Alma,22,2,2
Alma,22,1,2
Alma,19,33,2
Genesis,45,4,2
Jacob,4,5,2
Jacob,1,19,2
Jacob,1,7,2
Isaiah,61,10,2
Isaiah,58,11,2
Isaiah,58,10,2
Isaiah,58,9,2
Isaiah,58,6,2
Isaiah,58,3,2
Alma,22,25,2
Alma,22,24,2
Alma,22,23,2
Alma,37,11,2
Hebrews,2,18,2
Hebrews,2,10,2
Haggai,1,7,2
Alma,22,22,2
Alma,22,21,2
Alma,22,20,2
Alma,22,19,2
Alma,22,17,2
Alma,22,11,2
Alma,22,10,2
Isaiah,57,15,2
Isaiah,55,12,2
Alma,22,35,2
Alma,22,34,2
Hebrews,8,10,2
Hebrews,8,6,2
Hebrews,6,19,2
Alma,22,33,2
Alma,22,32,2
Alma,22,31,2
Alma,22,30,2
Alma,22,29,2
Alma,22,28,2
Alma,22,27,2
Alma,22,26,2
Isaiah,52,1,2
Isaiah,49,26,2
Isaiah,45,22,2
Isaiah,43,4,2
Isaiah,43,3,2
Isaiah,43,2,2
Isaiah,40,28,2
Alma,26,3,2
Alma,25,16,2
Alma,24,10,2
Isaiah,29,19,2
Isaiah,29,18,2
Isaiah,29,17,2
Isaiah,29,16,2
Isaiah,29,15,2
Isaiah,29,4,2
Isaiah,28,16,2
Isaiah,25,4,2
Isaiah,14,13,2
Isaiah,14,12,2
Isaiah,11,12,2
Isaiah,11,9,2
Hebrews,11,5,2
Hebrews,11,3,2
Hebrews,10,36,2
Hebrews,10,27,2
Hebrews,10,26,2
Isaiah,11,1,2
Alma,30,3,2
Isaiah,1,17,2
Isaiah,1,16,2
Helaman,16,18,2
Helaman,15,13,2
Helaman,15,6,2
Helaman,14,29,2
Helaman,14,19,2
Helaman,14,12,2
Hebrews,11,29,2
Hebrews,11,26,2
Hebrews,11,25,2
Hebrews,11,24,2
Hebrews,11,16,2
Helaman,12,3,2
Helaman,12,1,2
Helaman,11,23,2
Alma,30,26,2
Alma,30,24,2
Helaman,10,4,2
Helaman,7,17,2
Helaman,6,35,2
Helaman,6,5,2
Helaman,5,52,2
Helaman,5,51,2
Helaman,5,50,2
Helaman,5,49,2
Helaman,5,48,2
Helaman,5,47,2
Helaman,5,46,2
Helaman,5,45,2
Hebrews,13,2,2
Hebrews,12,24,2
Hebrews,12,12,2
Hebrews,11,35,2
Helaman,5,43,2
Helaman,5,42,2
Helaman,5,41,2
Helaman,5,39,2
Helaman,5,38,2
Helaman,5,37,2
Helaman,5,36,2
Helaman,5,35,2
Helaman,5,34,2
Helaman,5,29,2
Helaman,5,28,2
Helaman,5,27,2
Helaman,5,26,2
Helaman,5,25,2
Hebrews,13,20,2
Alma,30,60,2
Alma,30,59,2
Alma,30,31,2
Helaman,5,24,2
Helaman,5,23,2
Helaman,5,22,2
Helaman,5,21,2
Helaman,5,20,2
Alma,33,16,2
Alma,33,11,2
Alma,33,10,2
Alma,33,9,2
Alma,33,8,2
Alma,33,7,2
Alma,33,6,2
Alma,33,5,2
Helaman,5,18,2
Helaman,5,8,2
Helaman,4,23,2
Helaman,3,28,2
Helaman,3,26,2
Helaman,3,25,2
Helaman,3,24,2
Helaman,3,21,2
Alma,31,27,2
Alma,33,4,2
Alma,33,18,2
1 Corinthians,2,4,2
1 Corinthians,11,11,2
1 Corinthians,10,13,2
1 Corinthians,6,19,2
Romans,13,10,2
Romans,13,6,1
Zephaniah,1,18,1
1 Chronicles,16,29,1
1 Corinthians,1,17,1
1 Corinthians,1,18,1
Romans,13,7,1
Romans,13,8,1
Romans,13,9,1
Romans,13,11,1
Romans,13,13,1
Doctrine and Covenants,80,1,1
Doctrine and Covenants,78,14,1
Doctrine and Covenants,77,8,1
Doctrine and Covenants,77,1,1
Doctrine and Covenants,75,10,1
Doctrine and Covenants,75,5,1
Doctrine and Covenants,74,5,1
Zephaniah,1,14,1
Zechariah,14,20,1
Zechariah,14,7,1
Zechariah,14,6,1
Zechariah,14,5,1
1 Corinthians,1,29,1
Zephaniah,1,17,1
Zephaniah,1,16,1
Zephaniah,1,15,1
Helaman,5,3,1
Helaman,5,2,1
Helaman,5,1,1
Helaman,4,25,1
